Bereinigung,Indizes / Veränderungen,Nominal / Real,Branche / Warengruppe,Monat,DATA
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2003-12-01,110.076
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-01-01,89.102
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-02-01,81.616
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-03-01,85.688
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-04-01,88.713
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-05-01,89.662
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-06-01,85.035
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-07-01,86.866
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-08-01,80.821
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-09-01,85.186
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-10-01,88.355
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-11-01,93.761
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2004-12-01,110.728
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-01-01,86.074
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-02-01,80.791
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-03-01,88.087
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-04-01,90.844
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-05-01,89.077
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-06-01,87.42
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-07-01,87.629
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-08-01,84.089
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-09-01,86.008
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-10-01,90.396
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-11-01,95.366
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2005-12-01,113.705
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-01-01,88.517
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-02-01,80.938
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-03-01,88.361
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-04-01,89.81
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-05-01,94.011
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-06-01,87.852
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-07-01,89.247
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-08-01,87.888
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-09-01,87.987
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-10-01,90.529
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-11-01,98.086
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2006-12-01,114.209
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-01-01,91.794
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-02-01,83.236
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-03-01,93.475
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-04-01,91.988
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-05-01,95.962
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-06-01,91.437
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-07-01,92.025
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-08-01,91.13
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-09-01,90.3
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-10-01,96.569
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-11-01,101.698
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2007-12-01,116.801
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-01-01,94.434
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-02-01,91.084
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-03-01,93.091
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-04-01,95.716
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-05-01,105.035
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-06-01,93.565
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-07-01,99.47
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-08-01,92.354
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-09-01,97.876
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-10-01,100.756
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-11-01,101.089
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2008-12-01,121.898
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-01-01,96.141
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-02-01,88.233
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-03-01,94.385
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-04-01,97.065
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-05-01,103.384
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-06-01,94.231
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-07-01,100.378
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-08-01,91.123
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-09-01,95.783
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-10-01,104.455
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-11-01,100.909
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2009-12-01,125.826
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-01-01,95.381
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-02-01,90.036
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-03-01,101.791
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-04-01,97.69
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-05-01,101.629
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-06-01,97.566
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-07-01,103.113
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-08-01,94.03
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-09-01,98.172
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-10-01,102.374
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-11-01,105.361
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2010-12-01,127.573
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-01-01,94.185
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-02-01,89.046
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-03-01,99.847
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-04-01,101.706
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-05-01,103.336
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-06-01,95.283
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-07-01,100.229
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-08-01,90.813
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-09-01,94.237
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-10-01,99.036
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-11-01,103.167
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2011-12-01,124.928
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-01-01,95.361
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-02-01,90.259
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-03-01,102.684
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-04-01,94.559
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-05-01,104.465
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-06-01,100.096
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-07-01,99.107
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-08-01,94.287
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-09-01,94.952
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-10-01,101.757
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-11-01,105.166
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2012-12-01,121.462
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-01-01,96.306
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-02-01,87.75
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-03-01,99.09
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-04-01,96.882
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-05-01,104.78
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-06-01,98.676
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-07-01,100.769
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-08-01,96.142
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-09-01,94.104
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-10-01,102.141
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-11-01,108.804
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2013-12-01,122.094
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-01-01,95.654
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-02-01,87.987
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-03-01,99.53
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-04-01,99.006
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-05-01,106.059
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-06-01,98.429
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-07-01,100.284
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-08-01,95.202
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-09-01,96.025
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-10-01,102.401
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-11-01,105.095
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2014-12-01,126.29
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-01-01,96.374
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-02-01,86.475
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-03-01,98.702
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-04-01,97.258
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-05-01,101.467
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-06-01,100.941
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-07-01,101.176
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-08-01,92.173
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-09-01,95.941
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-10-01,102.523
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-11-01,102.415
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2015-12-01,124.555
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-01-01,93.097
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-02-01,88.918
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-03-01,97.841
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-04-01,98.064
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-05-01,99.328
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-06-01,98.4
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-07-01,96.856
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-08-01,92.774
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-09-01,94.456
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-10-01,99.302
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-11-01,105.58
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2016-12-01,123.667
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-01-01,94.051
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-02-01,86.883
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-03-01,101.967
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-04-01,95.011
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-05-01,102.888
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-06-01,99.626
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-07-01,97.418
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-08-01,93.026
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-09-01,97.307
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-10-01,98.141
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-11-01,108.453
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2017-12-01,124.032
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-01-01,95.155
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-02-01,87.347
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-03-01,103.23
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-04-01,96.035
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-05-01,102.833
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-06-01,103.364
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-07-01,98.151
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-08-01,95.588
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-09-01,93.519
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-10-01,102.416
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-11-01,109.048
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2018-12-01,122.7
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-01-01,95.774
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-02-01,87.859
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-03-01,99.994
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-04-01,99.547
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-05-01,104.908
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-06-01,101.42
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-07-01,102.403
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-08-01,96.624
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-09-01,94.85
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-10-01,104.102
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-11-01,111.62
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2019-12-01,123.397
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2020-01-01,96.244
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2020-02-01,93.664
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2020-03-01,93.925
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2020-04-01,82.426
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2020-05-01,112.58
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2020-06-01,106.908
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2020-07-01,108.398
Unbereinigt,Indizes,Nominal,47 (ohne 473): Total Detailhandel ohne Tankstellen,2020-08-01,97.823
